id,name,reportReference,reportTitle,reportYear,reportAuthor,structure,structureOther,chemistry,chemistryOther,modification,modificationOther,characterization,otherSolutes,A,B,AB,Rreal,Robs,filtrationMode,hydraulicP,NaCl conc (M),Pw,Ps,osmoticP,cpMode,CP,thickness,roughness,CA,pwPs,couponSize,pH
246,Example 3,U.S. Patent No. 4872984,Interfacially Synthesized Reverse Osmosis Membrane Containing an Amine Salt and Processes for Preparing the Same,1989,Tomaschke,Polymeric TFC,,Polyamide,,Synthesis: additives,,,No,2.05,0.02,102.49999999999999,99.92,99.9,Not available,15.51,0.0342,,,1.52,CP calculated assuming kf = 100,1.25,,,,,,7
247,Example 4,U.S. Patent No. 4872984,Interfacially Synthesized Reverse Osmosis Membrane Containing an Amine Salt and Processes for Preparing the Same,1989,Tomaschke,Polymeric TFC,,Polyamide,,Synthesis: additives,,,No,1.99,0.02,99.5,99.91,99.88,Not available,15.51,0.0342,,,1.52,CP calculated assuming kf = 100,1.31,,,,,,7
248,Example 5,U.S. Patent No. 4872984,Interfacially Synthesized Reverse Osmosis Membrane Containing an Amine Salt and Processes for Preparing the Same,1989,Tomaschke,Polymeric TFC,,Polyamide,,Synthesis: additives,,,No,2.82,0.03,94,99.91,99.87,Not available,15.51,0.0342,,,1.52,CP calculated assuming kf = 100,1.46,,,,,,7
249,Comp. A,U.S. Patent No. 4872984,Interfacially Synthesized Reverse Osmosis Membrane Containing an Amine Salt and Processes for Preparing the Same,1989,Tomaschke,Polymeric TFC,,Polyamide,,Synthesis: solvent,,,No,0.69,0.02,34.5,99.83,99.81,Not available,15.51,0.0342,,,1.52,CP calculated assuming kf = 100,1.1,,,,,,7
250,Example 7,U.S. Patent No. 4872984,Interfacially Synthesized Reverse Osmosis Membrane Containing an Amine Salt and Processes for Preparing the Same,1989,Tomaschke,Polymeric TFC,,Polyamide,,Synthesis: additives,,,No,2.65,0.03,88.33333333333333,99.92,99.88,Not available,15.51,0.0342,,,1.52,CP calculated assuming kf = 100,-1.5,,,,,,7
251,Example 6,U.S. Patent No. 4872984,Interfacially Synthesized Reverse Osmosis Membrane Containing an Amine Salt and Processes for Preparing the Same,1989,Tomaschke,Polymeric TFC,,Polyamide,,Synthesis: additives;Synthesis: solvent,,,No,2.51,0.038,66.05263157894737,99.89,99.84,Not available,15.51,0.0342,,,1.52,CP calculated assuming kf = 100,1.4,,,,,,7
252,Example 9,U.S. Patent No. 4872984,Interfacially Synthesized Reverse Osmosis Membrane Containing an Amine Salt and Processes for Preparing the Same,1989,Tomaschke,Polymeric TFC,,Polyamide,,Synthesis: additives,,,No,2.51,0.022,114.0909090909091,99.94,99.91,Not available,15.51,0.0342,,,1.52,CP calculated assuming kf = 100,-0.5,,,,,,7
253,Example 10,U.S. Patent No. 4872984,Interfacially Synthesized Reverse Osmosis Membrane Containing an Amine Salt and Processes for Preparing the Same,1989,Tomaschke,Polymeric TFC,,Polyamide,,Synthesis: additives,,,No,2.64,0.032,82.5,99.91,99.87,Not available,15.51,0.0342,,,1.52,CP calculated assuming kf = 100,1.42,,,,,,7
254,Comp. B,U.S. Patent No. 4872984,Interfacially Synthesized Reverse Osmosis Membrane Containing an Amine Salt and Processes for Preparing the Same,1989,Tomaschke,Polymeric TFC,,Polyamide,,Synthesis: solvent,,,No,0.76,0.051,14.901960784313726,99.51,99.46,Not available,15.51,0.0342,,,1.51,CP calculated assuming kf = 100,1.11,,,,,,7
255,Example 11,U.S. Patent No. 4872984,Interfacially Synthesized Reverse Osmosis Membrane Containing an Amine Salt and Processes for Preparing the Same,1989,Tomaschke,Polymeric TFC,,Polyamide,,Synthesis: solvent;Synthesis: additives,,,No,2.25,0.081,27.77777777777778,99.73,99.64,Not available,15.51,0.0342,,,1.51,CP calculated assuming kf = 100,1.35,,,,,,7
256,Comp. C,U.S. Patent No. 4872984,Interfacially Synthesized Reverse Osmosis Membrane Containing an Amine Salt and Processes for Preparing the Same,1989,Tomaschke,Polymeric TFC,,Polyamide,,Synthesis: solvent,,,No,1.92,0.036,53.333333333333336,99.86,99.82,Not available,15.51,0.0342,,,1.52,CP calculated assuming kf = 100,1.3,,,,,,7
257,Example 12,U.S. Patent No. 4872984,Interfacially Synthesized Reverse Osmosis Membrane Containing an Amine Salt and Processes for Preparing the Same,1989,Tomaschke,Polymeric TFC,,Polyamide,,Synthesis: solvent;Synthesis: additives,,,No,2.34,0.055,42.54545454545454,99.82,99.76,Not available,15.51,0.0342,,,1.51,CP calculated assuming kf = 100,1.37,,,,,,7
258,Example 13,U.S. Patent No. 4872984,Interfacially Synthesized Reverse Osmosis Membrane Containing an Amine Salt and Processes for Preparing the Same,1989,Tomaschke,Polymeric TFC,,Polyamide,,Synthesis: additives,,,No,2.12,0.021,100.95238095238095,99.92,99.9,Not available,15.51,0.0342,,,1.52,CP calculated assuming kf = 100,1.25,,,,,,7
259,Example 14,U.S. Patent No. 4872984,Interfacially Synthesized Reverse Osmosis Membrane Containing an Amine Salt and Processes for Preparing the Same,1989,Tomaschke,Polymeric TFC,,Polyamide,,Synthesis: additives,,,No,2.39,0.084,28.452380952380953,99.74,99.64,Not available,15.51,0.0342,,,1.51,CP calculated assuming kf = 100,1.38,,,,,,7
260,Example 15,U.S. Patent No. 4872984,Interfacially Synthesized Reverse Osmosis Membrane Containing an Amine Salt and Processes for Preparing the Same,1989,Tomaschke,Polymeric TFC,,Polyamide,,Synthesis: additives,,,No,2.09,0.073,28.63013698630137,99.74,99.66,Not available,15.51,0.0342,,,1.51,CP calculated assuming kf = 100,1.33,,,,,,7
261,Comp. D,U.S. Patent No. 4872984,Interfacially Synthesized Reverse Osmosis Membrane Containing an Amine Salt and Processes for Preparing the Same,1989,Tomaschke,Polymeric TFC,,Polyamide,,Synthesis: solvent,,,No,1.67,0.044,37.95454545454545,99.81,99.76,Not available,15.51,0.0342,,,1.51,CP calculated assuming kf = 100,1.26,,,,,,7
262,Example 16,U.S. Patent No. 4872984,Interfacially Synthesized Reverse Osmosis Membrane Containing an Amine Salt and Processes for Preparing the Same,1989,Tomaschke,Polymeric TFC,,Polyamide,,Synthesis: solvent;Synthesis: additives,,,No,1.95,0.036,54.16666666666667,99.86,99.82,Not available,15.51,0.0342,,,1.52,CP calculated assuming kf = 100,1.3,,,,,,7
263,Example 17,U.S. Patent No. 4872984,Interfacially Synthesized Reverse Osmosis Membrane Containing an Amine Salt and Processes for Preparing the Same,1989,Tomaschke,Polymeric TFC,,Polyamide,,Synthesis: additives,,,No,1.89,0.148,12.77027027027027,99.43,99.26,Not available,15.51,0.0342,,,1.51,CP calculated assuming kf = 100,1.29,,,,,,7
264,Example 18,U.S. Patent No. 4872984,Interfacially Synthesized Reverse Osmosis Membrane Containing an Amine Salt and Processes for Preparing the Same,1989,Tomaschke,Polymeric TFC,,Polyamide,,Synthesis: additives,,,No,2,0.021,95.23809523809523,99.92,99.9,Not available,15.51,0.0342,,,1.52,CP calculated assuming kf = 100,1.31,,,,,,7
265,Example 19,U.S. Patent No. 4872984,Interfacially Synthesized Reverse Osmosis Membrane Containing an Amine Salt and Processes for Preparing the Same,1989,Tomaschke,Polymeric TFC,,Polyamide,,Synthesis: additives,,,No,2.78,0.033,84.24242424242424,99.91,99.87,Not available,15.51,0.0342,,,1.52,CP calculated assuming kf = 100,1.45,,,,,,7
266,Comp. E,U.S. Patent No. 4872984,Interfacially Synthesized Reverse Osmosis Membrane Containing an Amine Salt and Processes for Preparing the Same,1989,Tomaschke,Polymeric TFC,,Polyamide,,Synthesis: solvent,,,No,1.78,0.12,14.833333333333334,99.5,99.37,Not available,15.51,0.0342,,,1.51,CP calculated assuming kf = 100,1.27,,,,,,7
267,Example 20,U.S. Patent No. 4872984,Interfacially Synthesized Reverse Osmosis Membrane Containing an Amine Salt and Processes for Preparing the Same,1989,Tomaschke,Polymeric TFC,,Polyamide,,Synthesis: additives,,,No,2.33,0.05,46.6,99.84,99.78,Not available,15.51,0.0342,,,1.52,CP calculated assuming kf = 100,1.37,,,,,,7
268,Comp. F,U.S. Patent No. 4872984,Interfacially Synthesized Reverse Osmosis Membrane Containing an Amine Salt and Processes for Preparing the Same,1989,Tomaschke,Polymeric TFC,,Polyamide,,Synthesis: solvent,,,No,0.7,0.014,49.99999999999999,99.85,99.84,Not available,15.51,0.0342,,,1.52,CP calculated assuming kf = 100,1.1,,,,,,7
269,Example 21,U.S. Patent No. 4872984,Interfacially Synthesized Reverse Osmosis Membrane Containing an Amine Salt and Processes for Preparing the Same,1989,Tomaschke,Polymeric TFC,,Polyamide,,Synthesis: solvent;Synthesis: additives,,,No,2.46,0.047,52.340425531914896,99.86,99.8,Not available,15.51,0.0342,,,1.52,CP calculated assuming kf = 100,1.39,,,,,,7
270,Example 22,U.S. Patent No. 4872984,Interfacially Synthesized Reverse Osmosis Membrane Containing an Amine Salt and Processes for Preparing the Same,1989,Tomaschke,Polymeric TFC,,Polyamide,,Synthesis: solvent;Synthesis: additives,,,No,1.76,0.079,22.27848101265823,99.67,99.58,Not available,15.51,0.0342,,,1.51,CP calculated assuming kf = 100,1.27,,,,,,7
271,Comp. G,U.S. Patent No. 4872984,Interfacially Synthesized Reverse Osmosis Membrane Containing an Amine Salt and Processes for Preparing the Same,1989,Tomaschke,Polymeric TFC,,Polyamide,,Synthesis: solvent,,,No,0.32,0.036,8.88888888888889,99.2,99.16,Not available,15.51,0.0342,,,1.51,CP calculated assuming kf = 100,1.05,,,,,,7
272,Example 23,U.S. Patent No. 4872984,Interfacially Synthesized Reverse Osmosis Membrane Containing an Amine Salt and Processes for Preparing the Same,1989,Tomaschke,Polymeric TFC,,Polyamide,,Synthesis: solvent;Synthesis: additives,,,No,3.4,0.043,79.06976744186046,99.9,99.85,Not available,15.51,0.0342,,,1.52,CP calculated assuming kf = 100,1.56,,,,,,7
273,Example 24,U.S. Patent No. 4872984,Interfacially Synthesized Reverse Osmosis Membrane Containing an Amine Salt and Processes for Preparing the Same,1989,Tomaschke,Polymeric TFC,,Polyamide,,Synthesis: additives,,,No,2.54,0.183,13.879781420765028,99.47,99.25,Not available,15.51,0.0342,,,1.51,CP calculated assuming kf = 100,1.4,,,,,,7
274,Comp. H,U.S. Patent No. 4872984,Interfacially Synthesized Reverse Osmosis Membrane Containing an Amine Salt and Processes for Preparing the Same,1989,Tomaschke,Polymeric TFC,,Polyamide,,Synthesis: solvent,,,No,1.26,0.244,5.163934426229508,98.61,98.35,Not available,15.51,0.0342,,,1.49,CP calculated assuming kf = 100,1.19,,,,,,7
275,Example 25,U.S. Patent No. 4872984,Interfacially Synthesized Reverse Osmosis Membrane Containing an Amine Salt and Processes for Preparing the Same,1989,Tomaschke,Polymeric TFC,,Polyamide,,Synthesis: solvent;Synthesis: additives,,,No,2.45,0.073,33.561643835616444,99.78,99.69,Not available,15.51,0.0342,,,1.51,CP calculated assuming kf = 100,1.39,,,,,,7
276,Comp. I,U.S. Patent No. 4872984,Interfacially Synthesized Reverse Osmosis Membrane Containing an Amine Salt and Processes for Preparing the Same,1989,Tomaschke,Polymeric TFC,,Polyamide,,Synthesis: solvent,,,No,2.05,0.078,26.28205128205128,99.72,99.63,Not available,15.51,0.0342,,,1.51,CP calculated assuming kf = 100,1.32,,,,,,7
277,Example 26,U.S. Patent No. 4872984,Interfacially Synthesized Reverse Osmosis Membrane Containing an Amine Salt and Processes for Preparing the Same,1989,Tomaschke,Polymeric TFC,,Polyamide,,Synthesis: solvent;Synthesis: additives,,,No,2.55,0.051,50,99.85,99.79,Not available,15.51,0.0342,,,1.52,CP calculated assuming kf = 100,1.41,,,,,,7
278,Example 27,U.S. Patent No. 4872984,Interfacially Synthesized Reverse Osmosis Membrane Containing an Amine Salt and Processes for Preparing the Same,1989,Tomaschke,Polymeric TFC,,Polyamide,,Synthesis: additives,,,No,2.89,0.05,57.8,99.87,99.81,Not available,15.51,0.0342,,,1.52,CP calculated assuming kf = 100,1.47,,,,,,7
279,Example 28,U.S. Patent No. 4872984,Interfacially Synthesized Reverse Osmosis Membrane Containing an Amine Salt and Processes for Preparing the Same,1989,Tomaschke,Polymeric TFC,,Polyamide,,Synthesis: additives,,,No,2.38,0.051,46.666666666666664,99.84,99.78,Not available,15.51,0.0342,,,1.52,CP calculated assuming kf = 100,1.38,,,,,,7
280,Example 29,U.S. Patent No. 4872984,Interfacially Synthesized Reverse Osmosis Membrane Containing an Amine Salt and Processes for Preparing the Same,1989,Tomaschke,Polymeric TFC,,Polyamide,,Synthesis: additives,,,No,2.64,0.042,62.857142857142854,99.88,99.83,Not available,15.51,0.0342,,,1.52,CP calculated assuming kf = 100,1.42,,,,,,7
281,Comp. J,U.S. Patent No. 4872984,Interfacially Synthesized Reverse Osmosis Membrane Containing an Amine Salt and Processes for Preparing the Same,1989,Tomaschke,Polymeric TFC,,Polyamide,,Synthesis: solvent,,,No,0.61,0.022,27.727272727272727,99.74,99.72,Not available,15.51,0.0342,,,1.51,CP calculated assuming kf = 100,1.09,,,,,,7
282,Example 30,U.S. Patent No. 4872984,Interfacially Synthesized Reverse Osmosis Membrane Containing an Amine Salt and Processes for Preparing the Same,1989,Tomaschke,Polymeric TFC,,Polyamide,,Synthesis: solvent;Synthesis: additives,,,No,3.33,0.045,74,99.9,99.84,Not available,15.51,0.0342,,,1.52,CP calculated assuming kf = 100,1.55,,,,,,7
283,Comp. K,U.S. Patent No. 4872984,Interfacially Synthesized Reverse Osmosis Membrane Containing an Amine Salt and Processes for Preparing the Same,1989,Tomaschke,Polymeric TFC,,Polyamide,,Synthesis: solvent,,,No,0.95,0.029,32.75862068965517,99.78,99.75,Not available,15.51,0.0342,,,1.51,CP calculated assuming kf = 100,1.14,,,,,,7
284,Comp. L,U.S. Patent No. 4872984,Interfacially Synthesized Reverse Osmosis Membrane Containing an Amine Salt and Processes for Preparing the Same,1989,Tomaschke,Polymeric TFC,,Polyamide,,Synthesis: solvent,,,No,1.52,0.085,17.88235294117647,99.59,99.5,Not available,15.51,0.0342,,,1.51,CP calculated assuming kf = 100,1.23,,,,,,7
285,Example 31,U.S. Patent No. 4872984,Interfacially Synthesized Reverse Osmosis Membrane Containing an Amine Salt and Processes for Preparing the Same,1989,Tomaschke,Polymeric TFC,,Polyamide,,Synthesis: solvent;Synthesis: additives,,,No,2.8,0.103,27.184466019417474,99.72,99.6,Not available,15.51,0.0342,,,1.51,CP calculated assuming kf = 100,1.45,,,,,,7
286,Example 32,U.S. Patent No. 4872984,Interfacially Synthesized Reverse Osmosis Membrane Containing an Amine Salt and Processes for Preparing the Same,1989,Tomaschke,Polymeric TFC,,Polyamide,,Synthesis: solvent;Synthesis: additives,,,No,2.7,0.139,19.424460431654676,99.62,99.45,Not available,15.51,0.0342,,,1.51,CP calculated assuming kf = 100,1.43,,,,,,7
287,Comp. M,U.S. Patent No. 4872984,Interfacially Synthesized Reverse Osmosis Membrane Containing an Amine Salt and Processes for Preparing the Same,1989,Tomaschke,Polymeric TFC,,Polyamide,,Synthesis: solvent,,,No,0.76,0.035,21.71428571428571,99.67,99.63,Not available,15.51,0.0342,,,1.51,CP calculated assuming kf = 100,1.11,,,,,,7
288,M1,10.1002/app.44444,Effect of surface properties of polysulfone support on the performance of thin film composite polyamide reverse osmosis membranes,2017,Ehsan,Polymeric TFC,,Polyamide,,Synthesis: support,,SEM,No,2.97,0.8327,3.566710700132101,97.86,96.9,Cross-flow,15,0.03422,,,1.47,CP calculated assuming kf = 100,1.46,,,,,,
289,M2,10.1002/app.44444,Effect of surface properties of polysulfone support on the performance of thin film composite polyamide reverse osmosis membranes,2017,Ehsan,Polymeric TFC,,Polyamide,,Synthesis: support,,SEM,No,2.76,0.9581,2.9,97.38,96.3,Cross-flow,15,0.03422,,,1.47,CP calculated assuming kf = 100,1.43,,,,,,
290,M3,10.1002/app.44444,Effect of surface properties of polysulfone support on the performance of thin film composite polyamide reverse osmosis membranes,2017,Ehsan,Polymeric TFC,,Polyamide,,Synthesis: support,,SEM,No,2.73,1.1415,2.4,96.87,95.6,Cross-flow,15,0.03422,,,1.45,CP calculated assuming kf = 100,1.42,,,,,,
291,M4,10.1002/app.44444,Effect of surface properties of polysulfone support on the performance of thin film composite polyamide reverse osmosis membranes,2017,Ehsan,Polymeric TFC,,Polyamide,,Synthesis: support,,SEM,No,2.99,0.8646,3.5,97.8,96.8,Cross-flow,15,0.03422,,,1.47,CP calculated assuming kf = 100,1.47,,,,,,
292,M5,10.1002/app.44444,Effect of surface properties of polysulfone support on the performance of thin film composite polyamide reverse osmosis membranes,2017,Ehsan,Polymeric TFC,,Polyamide,,Synthesis: support,,SEM,No,2.86,0.72,4,98.08,97.25,Cross-flow,15,0.03422,,,1.48,CP calculated assuming kf = 100,1.44,,,,,,
293,M6,10.1002/app.44444,Effect of surface properties of polysulfone support on the performance of thin film composite polyamide reverse osmosis membranes,2017,Ehsan,Polymeric TFC,,Polyamide,,Synthesis: support,,SEM,No,2.57,0.6862,3.7,97.98,97.2,Cross-flow,15,0.03422,,,1.48,CP calculated assuming kf = 100,1.39,,,,,,
294,M7,10.1002/app.44444,Effect of surface properties of polysulfone support on the performance of thin film composite polyamide reverse osmosis membranes,2017,Ehsan,Polymeric TFC,,Polyamide,,Synthesis: support,,SEM,No,3.67,0.6563,5.6,98.61,97.8,Cross-flow,15,0.03422,,,1.49,CP calculated assuming kf = 100,1.39,,,,,,
295,M8,10.1002/app.44444,Effect of surface properties of polysulfone support on the performance of thin film composite polyamide reverse osmosis membranes,2017,Ehsan,Polymeric TFC,,Polyamide,,Synthesis: support,,SEM,No,3.69,0.81114,4.5,98.29,97.3,Cross-flow,15,0.03422,,,1.48,CP calculated assuming kf = 100,1.59,,,,,,
296,M9,10.1002/app.44444,Effect of surface properties of polysulfone support on the performance of thin film composite polyamide reverse osmosis membranes,2017,Ehsan,Polymeric TFC,,Polyamide,,Synthesis: support,,SEM,No,3.29,0.853,3.9,98.01,97,Cross-flow,15,0.03422,,,1.47,CP calculated assuming kf = 100,1.52,,,,,,
297,M10,10.1002/app.44444,Effect of surface properties of polysulfone support on the performance of thin film composite polyamide reverse osmosis membranes,2017,Ehsan,Polymeric TFC,,Polyamide,,Synthesis: support,,SEM,No,3.93,0.7729,5.1,98.46,97.5,Cross-flow,15,0.03422,,,1.48,CP calculated assuming kf = 100,1.64,,,,,,
298,M11,10.1002/app.44444,Effect of surface properties of polysulfone support on the performance of thin film composite polyamide reverse osmosis membranes,2017,Ehsan,Polymeric TFC,,Polyamide,,Synthesis: support,,SEM,No,3.38,0.6292,5.4,98.56,97.8,Cross-flow,15,0.03422,,,1.49,CP calculated assuming kf = 100,1.54,,,,,,
299,M12,10.1002/app.44444,Effect of surface properties of polysulfone support on the performance of thin film composite polyamide reverse osmosis membranes,2017,Ehsan,Polymeric TFC,,Polyamide,,Synthesis: support,,SEM,No,3.25,0.5585,5.8,98.67,98,Cross-flow,15,0.03422,,,1.49,CP calculated assuming kf = 100,1.51,,,,,,
300,TFC-116,10.1016/j.desal.2011.09.003,"Thin film composite reverse osmosis membrane development and scale up at CSMCRI, Bhavnagar",2011,Rangarajan,Polymeric TFC,,Polyamide,,No modification,,FTIR;SEM,No,5.32,1.37,3.8832116788321165,98.08,96.2,Cross-flow,17.24,0.05,0.000003,5.7e-10,2.03,CP calculated assuming kf = 100,2.01,150,,,5263.1578947368425,15,
301,TFC-99 (2% DMF),10.1016/j.desal.2011.09.003,"Thin film composite reverse osmosis membrane development and scale up at CSMCRI, Bhavnagar",2011,Rangarajan,Polymeric TFC,,Polyamide,,No modification,,FTIR;SEM,No,4.22,2.73,1.5457875457875456,95.43,96.2,Cross-flow,17.24,0.05,0.0000024,1.1e-9,2.11,CP calculated assuming kf = 100,1.77,150,,,2181.818181818182,15,
302,TFC-101 (6% DMF),10.1016/j.desal.2011.09.003,"Thin film composite reverse osmosis membrane development and scale up at CSMCRI, Bhavnagar",2011,Rangarajan,Polymeric TFC,,Polyamide,,No modification,,FTIR;SEM,No,4.17,1.65,2.5,97.14,95.1,Cross-flow,17.24,0.05,0.0000024,6.8e-10,2.18,CP calculated assuming kf = 100,1.75,150,,,3529.411764705882,15,
303,TFC-103 (10% DMF),10.1016/j.desal.2011.09.003,"Thin film composite reverse osmosis membrane development and scale up at CSMCRI, Bhavnagar",2011,Rangarajan,Polymeric TFC,,Polyamide,,No modification,,FTIR;SEM,No,4.41,2.46,1.8,95.99,93,Cross-flow,17.24,0.05,0.0000025,1e-9,2.13,CP calculated assuming kf = 100,1.8,150,,,2500,15,
304,SW30XLE-400,https://www.dupont.com/content/dam/dupont/amer/us/en/water-solutions/public/documents/en/45-D00972-en.pdf,FilmTec™ SW30XLE-400 Element Seawater Reverse Osmosis Element,2020,DuPont FilmTec™,Polymeric TFC,,Polyamide,,No modification,,,No,2.18,0.0523,41.682600382409184,99.86,99.8,Cross-flow,55.1581,0.5476,,,25.64,CP calculated assuming kf = 100,1.47,,,,,370000,8
305,SW30HRLE-4040,https://www.dupont.com/content/dam/dupont/amer/us/en/water-solutions/public/documents/en/45-D01527-en.pdf,FilmTec™ SW30HR LE-4040 Seawater Reverse Osmosis Element,2020,DuPont FilmTec™,Polymeric TFC,,Polyamide,,No modification,,,No,1.62,0.0584,27.73972602739726,99.82,99.75,Cross-flow,55.1581,0.5476,,,25.63,CP calculated assuming kf = 100,1.38,,,,,,8
306,SWC4-LD,https://membranes.com/wp-content/uploads/Documents/Element-Specification-Sheets/RO/SWC/SWC4-LD.pdf,Hydraunautics SWC4-LD,2021,Hydranautics – A Nitto Group Company,Polymeric TFC,,Polyamide,,No modification,,,No,1.29,0.042,30.71428571428571,99.85,99.8,Cross-flow,55.1581,0.5476,,,25.64,CP calculated assuming kf = 100,1.32,,,,,374100,7
